fecha;customer_name;country;city;ship_mode;categories;product;price;quantity
1/1/11;Ruby Patel;Sweden;Stockholm;PLUS;office supplies and paper;Enermax Note Cards, Premium;$45;3
3/1/11;Summer Hayward;United Kingdom;Southport;ECONOMY;furniture and bookcases;Dania Corner Shelving, Traditional;$854;7
4/1/11;Devin Huddleston;France;Valence;ECONOMY;office supplies and art;Binney & Smith Sketch Pad, Easy-Erase;$140;3
4/1/11;Mary Parker;United Kingdom;Birmingham;ECONOMY;office supplies and art;Boston Markers, Easy-Erase;$27;2
4/1/11;Mary Parker;United Kingdom;Birmingham;ECONOMY;office supplies and storage;Eldon Folders, Single Width;$17;2
5/1/11;Daniel Burke;France;Echirolles;PRIORITY;office supplies and art;Binney & Smith Pencil Sharpener, Water Color;$90;3
5/1/11;Daniel Burke;France;Echirolles;PRIORITY;office supplies and art;Sanford Canvas, Fluorescent;$207;4
7/1/11;Fredrick Beveridge;France;La Seyne-sur-Mer;PRIORITY;furniture and bookcases;Bush Floating Shelf Set, Pine;$155;1
7/1/11;Fredrick Beveridge;France;La Seyne-sur-Mer;PRIORITY;office supplies and fasteners;Accos Thumb Tacks, Assorted Sizes;$33;3
7/1/11;Fredrick Beveridge;France;La Seyne-sur-Mer;PRIORITY;office supplies and storage;Smead Lockers, Industrial;$716;4
8/1/11;Archer Hort;France;Toulouse;ECONOMY;furniture and bookcases;Ikea Classic Bookcase, Metal;$987;6
8/1/11;Archer Hort;France;Toulouse;ECONOMY;office supplies and art;Binney & Smith Sketch Pad, Blue;$116;5
11/1/11;Evie Flockhart;Italy;Genoa;ECONOMY;office supplies and binders;Ibico Hole Reinforcements, Recycled;$22;3
11/1/11;Faith Greenwood;Austria;Vienna;ECONOMY;office supplies and art;Boston Canvas, Fluorescent;$55;1
11/1/11;Faith Greenwood;Austria;Vienna;ECONOMY;office supplies and storage;Smead Trays, Single Width;$97;2
11/1/11;Summer Hayward;Spain;Murcia;ECONOMY;furniture and tables;Bevis Training Table, with Bottom Storage;$268;2
11/1/11;Summer Hayward;Spain;Murcia;ECONOMY;office supplies and labels;Novimex File Folder Labels, Alphabetical;$40;5
11/1/11;Gracie Powell;United Kingdom;Woking;IMMEDIATE;furniture and chairs;SAFCO Executive Leather Armchair, Red;$1.384;3
11/1/11;Gracie Powell;United Kingdom;Woking;IMMEDIATE;office supplies and art;Binney & Smith Canvas, Blue;$103;2
12/1/11;Hershel Snyder;Germany;Lohne;ECONOMY;furniture and bookcases;Ikea Stackable Bookrack, Traditional;$552;5
12/1/11;Hershel Snyder;Germany;Lohne;ECONOMY;office supplies and art;Binney & Smith Canvas, Blue;$257;5
12/1/11;Hershel Snyder;Germany;Lohne;ECONOMY;office supplies and binders;Ibico Index Tab, Clear;$17;2
12/1/11;Hershel Snyder;Germany;Lohne;ECONOMY;technology and machines;Epson Printer, White;$522;2
12/1/11;Julia Martell;United Kingdom;Leicester;ECONOMY;furniture and chairs;Hon Chairmat, Adjustable;$290;5
12/1/11;Viola Watson;United Kingdom;Sheffield;PRIORITY;office supplies and paper;Green Bar Note Cards, Multicolor;$34;2
13/1/11;Julian Dobie;Netherlands;Dordrecht;ECONOMY;office supplies and binders;Wilson Jones Hole Reinforcements, Durable;$9;3
13/1/11;Julian Dobie;Netherlands;Dordrecht;ECONOMY;office supplies and labels;Harbour Creations Legal Exhibit Labels, Laser Printer Compatible;$22;4
13/1/11;Julian Dobie;Netherlands;Dordrecht;ECONOMY;office supplies and paper;Green Bar Cards & Envelopes, Multicolor;$50;2
13/1/11;Julian Dobie;Netherlands;Dordrecht;ECONOMY;office supplies and storage;Smead Lockers, Blue;$198;2
13/1/11;Rose Heap;Sweden;Gothenburg;ECONOMY;office supplies and art;Sanford Pens, Fluorescent;$31;5
14/1/11;Ella Troy;Austria;Vienna;ECONOMY;office supplies and paper;Xerox Message Books, Premium;$224;11
14/1/11;Ella Troy;Austria;Vienna;ECONOMY;technology and machines;StarTech Card Printer, White;$486;3
14/1/11;Ella Troy;Austria;Vienna;ECONOMY;technology and phones;Apple Headset, with Caller ID;$440;6
15/1/11;Everett Dunbar;Germany;Langen;PLUS;office supplies and appliances;Cuisinart Microwave, White;$249;1
15/1/11;Everett Dunbar;Germany;Langen;PLUS;office supplies and labels;Harbour Creations Removable Labels, 5000 Label Set;$21;2
15/1/11;Everett Dunbar;Germany;Langen;PLUS;office supplies and paper;Green Bar Computer Printout Paper, 8.5 x 11;$170;5
15/1/11;Everett Dunbar;Germany;Langen;PLUS;office supplies and supplies;Elite Letter Opener, Easy Grip;$55;2
15/1/11;Everett Dunbar;Germany;Langen;PLUS;technology and copiers;Hewlett Copy Machine, Laser;$527;2
17/1/11;Georgia Bermingham;Denmark;Copenhagen;ECONOMY;office supplies and labels;Hon Shipping Labels, Laser Printer Compatible;$17;3
18/1/11;Christopher Goold;Spain;Gandia;PRIORITY;office supplies and fasteners;Stockwell Thumb Tacks, Bulk Pack;$108;8
18/1/11;John Baca;Denmark;Esbjerg;PLUS;office supplies and binders;Acco Binding Machine, ECONOMY;$26;1
19/1/11;Kai Leonard;Italy;Sesto San Giovanni;PRIORITY;office supplies and envelopes;GlobeWeis Business Envelopes, Recycled;$48;3
19/1/11;Jennifer Mattingly;Italy;Trapani;PRIORITY;office supplies and binders;Wilson Jones Binding Machine, Clear;$145;3
19/1/11;Jennifer Mattingly;Italy;Trapani;PRIORITY;office supplies and storage;Fellowes Folders, Blue;$48;3
20/1/11;Nathan Iqbal;France;Villiers-sur-Marne;ECONOMY;office supplies and art;Boston Pencil Sharpener, Water Color;$58;2
21/1/11;Noah Chamberlain;Germany;Bielefeld;ECONOMY;technology and accessories;Memorex Router, Programmable;$495;2
22/1/11;Dylan Disney;Belgium;Leuven;ECONOMY;office supplies and binders;Avery Index Tab, Clear;$12;2
22/1/11;Dylan Disney;Belgium;Leuven;ECONOMY;office supplies and storage;Tenex File Cart, Blue;$666;5
22/1/11;Melissa Bean;Italy;Prato;ECONOMY;furniture and bookcases;Bush Classic Bookcase, Traditional;$825;2
22/1/11;Melissa Bean;Italy;Prato;ECONOMY;office supplies and art;Boston Canvas, Easy-Erase;$54;1
22/1/11;Melissa Bean;Italy;Prato;ECONOMY;office supplies and storage;Rogers Lockers, Single Width;$889;7
24/1/11;Vaughn Gibbs;Italy;Gela;PLUS;office supplies and art;Boston Markers, Fluorescent;$28;1
24/1/11;William Horton;Italy;Bologna;PRIORITY;furniture and chairs;Harbour Creations Swivel Stool, Set of Two;$73;1
24/1/11;William Horton;Italy;Bologna;PRIORITY;furniture and chairs;Office Star Bag Chairs, Set of Two;$69;3
24/1/11;William Horton;Italy;Bologna;PRIORITY;office supplies and fasteners;Advantus Staples, 12 Pack;$41;4
24/1/11;William Horton;Italy;Bologna;PRIORITY;office supplies and labels;Harbour Creations Color Coded Labels, Adjustable;$54;5
24/1/11;William Horton;Italy;Bologna;PRIORITY;office supplies and paper;SanDisk Memo Slips, Multicolor;$55;3
25/1/11;David Harney;Germany;Menden;ECONOMY;furniture and furnishings;Advantus Light Bulb, Duo Pack;$20;1
25/1/11;David Harney;Germany;Menden;ECONOMY;office supplies and binders;Cardinal Binder, Clear;$133;10
25/1/11;Walter Coley;France;Maisons-Alfort;ECONOMY;office supplies and art;Stanley Markers, Water Color;$178;7
26/1/11;Lori Miller;Spain;Madrid;ECONOMY;office supplies and labels;Smead Removable Labels, 5000 Label Set;$32;3
26/1/11;Hayley Baldwinson;Norway;Oslo;ECONOMY;office supplies and binders;Acco Binder Covers, Clear;$13;1
26/1/11;Hayley Baldwinson;Norway;Oslo;ECONOMY;office supplies and binders;Avery Binder, ECONOMY;$52;4
26/1/11;Hayley Baldwinson;Norway;Oslo;ECONOMY;technology and accessories;Memorex Flash Drive, Bluetooth;$88;3
26/1/11;Joseph Locke;Portugal;Lisbon;ECONOMY;technology and copiers;Hewlett Wireless Fax, Laser;$570;3
28/1/11;Gracie Hicks;France;Draguignan;ECONOMY;office supplies and storage;Rogers Folders, Single Width;$28;1
1/2/11;Hollie Norris;Germany;Halle;ECONOMY;office supplies and binders;Acco Hole Reinforcements, Recycled;$21;3
1/2/11;Hollie Norris;Germany;Halle;ECONOMY;office supplies and binders;Avery Hole Reinforcements, Durable;$12;2
1/2/11;Kiara Allen;Italy;Parma;ECONOMY;office supplies and art;Sanford Pencil Sharpener, Water Color;$78;3
2/2/11;Ronald Everson;Germany;Dresden;PRIORITY;office supplies and paper;Xerox Note Cards, Premium;$13;1
2/2/11;Ronald Everson;Germany;Dresden;PRIORITY;technology and copiers;HP Fax and Copier, Digital;$86;1
2/2/11;Ronald Everson;Germany;Dresden;PRIORITY;technology and phones;Motorola Signal Booster, Cordless;$584;8
2/2/11;Daryl Claypool;Spain;Seville;PLUS;office supplies and supplies;Acme Box Cutter, High Speed;$38;1
2/2/11;Daryl Claypool;Spain;Seville;PLUS;technology and phones;Cisco Smart Phone, Full Size;$587;1
2/2/11;Caleb Kenyon;Spain;Torrevieja;PRIORITY;office supplies and art;Boston Highlighters, Water Color;$44;2
2/2/11;Winnie Moss;Spain;Barcelona;PLUS;furniture and bookcases;Ikea Library with Doors, Pine;$729;2
2/2/11;Winnie Moss;Spain;Barcelona;PLUS;furniture and chairs;SAFCO Steel Folding Chair, Black;$266;4
2/2/11;Winnie Moss;Spain;Barcelona;PLUS;office supplies and art;BIC Canvas, Water Color;$57;1
2/2/11;Winnie Moss;Spain;Barcelona;PLUS;office supplies and art;Sanford Pencil Sharpener, Water Color;$116;4
2/2/11;Courtney Hancock;United Kingdom;London;PRIORITY;technology and phones;Cisco Headset, Full Size;$162;2
2/2/11;Brandon Preston;France;Reims;ECONOMY;office supplies and paper;SanDisk Memo Slips, Multicolor;$46;5
2/2/11;Brandon Preston;France;Reims;ECONOMY;technology and accessories;Logitech Numeric Keypad, Erganomic;$44;2
2/2/11;Brandon Preston;France;Reims;ECONOMY;technology and copiers;Hewlett Copy Machine, Color;$550;6
2/2/11;Brandon Preston;France;Reims;ECONOMY;technology and machines;Konica Phone, White;$89;3
2/2/11;Lara Stoate;Germany;Rosenheim;IMMEDIATE;office supplies and storage;Fellowes File Cart, Industrial;$248;2
2/2/11;Lara Stoate;Germany;Rosenheim;IMMEDIATE;technology and copiers;Brother Wireless Fax, Laser;$379;1
3/2/11;Max Ludwig;Sweden;Uppsala;PLUS;office supplies and art;Boston Pencil Sharpener, Easy-Erase;$91;6
4/2/11;Summer Hayward;France;Nice;ECONOMY;office supplies and storage;Tenex Shelving, Industrial;$149;3
7/2/11;Millie Newman;France;Boulogne-sur-Mer;ECONOMY;office supplies and art;Stanley Pencil Sharpener, Water Color;$112;4
7/2/11;Millie Newman;France;Boulogne-sur-Mer;ECONOMY;office supplies and binders;Avery Binder Covers, Durable;$50;4
7/2/11;Millie Newman;France;Boulogne-sur-Mer;ECONOMY;technology and machines;Konica Receipt Printer, Wireless;$208;2
7/2/11;Larry Klaus;France;La Crau;ECONOMY;office supplies and labels;Novimex Legal Exhibit Labels, Laser Printer Compatible;$31;3
8/2/11;Shelby Dunston;Italy;Siena;ECONOMY;office supplies and fasteners;Stockwell Clamps, 12 Pack;$110;6
9/2/11;Erin Gill;Spain;Barcelona;ECONOMY;furniture and bookcases;Ikea Corner Shelving, Metal;$368;3
9/2/11;Erin Gill;Spain;Barcelona;ECONOMY;office supplies and art;Binney & Smith Sketch Pad, Blue;$93;2
9/2/11;Erin Gill;Spain;Barcelona;ECONOMY;office supplies and binders;Cardinal 3-Hole Punch, Clear;$85;3
9/2/11;Erin Gill;Spain;Barcelona;ECONOMY;office supplies and fasteners;Stockwell Rubber Bands, 12 Pack;$48;3
9/2/11;Erin Gill;Spain;Barcelona;ECONOMY;office supplies and storage;Smead Folders, Wire Frame;$60;4
9/2/11;Piper Wilder-Neligan;Germany;Frankfurt;IMMEDIATE;office supplies and art;Binney & Smith Pencil Sharpener, Fluorescent;$133;5
9/2/11;Piper Wilder-Neligan;Germany;Frankfurt;IMMEDIATE;office supplies and binders;Cardinal Binder Covers, Clear;$80;7
9/2/11;Patricia Lukes;Netherlands;Almelo;ECONOMY;furniture and furnishings;Advantus Frame, Duo Pack;$267;3
9/2/11;Patricia Lukes;Netherlands;Almelo;ECONOMY;office supplies and envelopes;GlobeWeis Manila Envelope, Set of 50;$55;4
9/2/11;Patricia Lukes;Netherlands;Almelo;ECONOMY;office supplies and storage;Rogers Trays, Wire Frame;$91;3
10/2/11;Lilian Macredie;Switzerland;Basel;ECONOMY;furniture and bookcases;Sauder Library with Doors, Mobile;$780;2
10/2/11;Lilian Macredie;Switzerland;Basel;ECONOMY;office supplies and art;BIC Highlighters, Blue;$19;1
10/2/11;Jasmine Slater;Spain;Coslada;ECONOMY;furniture and bookcases;Dania Classic Bookcase, Traditional;$822;2
10/2/11;Jasmine Slater;Spain;Coslada;ECONOMY;office supplies and art;Boston Highlighters, Easy-Erase;$19;1
10/2/11;Charlotte Taylor;France;Marseille;ECONOMY;office supplies and envelopes;Kraft Clasp Envelope, with clear poly window;$50;4
10/2/11;Charlotte Taylor;France;Marseille;ECONOMY;technology and machines;Panasonic Receipt Printer, Wireless;$206;2
10/2/11;Victoria Bell;Germany;Hanover;IMMEDIATE;office supplies and binders;Avery Binder Covers, Clear;$26;5
10/2/11;Victoria Bell;Germany;Hanover;IMMEDIATE;office supplies and storage;Tenex File Cart, Industrial;$215;4
14/2/11;Kayleigh Farmer;Spain;Elda;PLUS;office supplies and art;BIC Markers, Blue;$26;1
14/2/11;Kayleigh Farmer;Spain;Elda;PLUS;office supplies and storage;Eldon Box, Blue;$9;1
15/2/11;Tyson Ebden;Netherlands;Hardenberg;ECONOMY;furniture and bookcases;Sauder Classic Bookcase, Pine;$875;4
15/2/11;Tyson Ebden;Netherlands;Hardenberg;ECONOMY;furniture and tables;Barricks Coffee Table, Fully Assembled;$273;3
15/2/11;Sophie Franklin;Spain;Seville;ECONOMY;furniture and chairs;Hon Executive Leather Armchair, Adjustable;$728;2
15/2/11;Sophie Franklin;Spain;Seville;ECONOMY;furniture and furnishings;Rubbermaid Door Stop, Erganomic;$127;3
16/2/11;Maya O'Sullivan;France;Muret;PLUS;furniture and chairs;SAFCO Executive Leather Armchair, Black;$4.544;11
16/2/11;Maya O'Sullivan;France;Muret;PLUS;office supplies and appliances;Hoover Microwave, Black;$277;1
16/2/11;Maya O'Sullivan;France;Muret;PLUS;office supplies and art;Stanley Highlighters, Easy-Erase;$90;6
16/2/11;Maya O'Sullivan;France;Muret;PLUS;technology and phones;Nokia Audio Dock, VoIP;$284;2
18/2/11;Ronald Everson;France;Beaune;ECONOMY;office supplies and fasteners;OIC Thumb Tacks, Assorted Sizes;$35;3
18/2/11;Julian Mack;France;Paris;ECONOMY;office supplies and binders;Avery Hole Reinforcements, Durable;$24;4
18/2/11;Julian Mack;France;Paris;ECONOMY;technology and machines;Panasonic Calculator, Durable;$129;3
18/2/11;Tegan Savage;Germany;Castrop-Rauxel;PLUS;office supplies and fasteners;Advantus Thumb Tacks, Assorted Sizes;$55;5
18/2/11;Tegan Savage;Germany;Castrop-Rauxel;PLUS;office supplies and fasteners;OIC Staples, Assorted Sizes;$62;7
21/2/11;Eva Hargraves;Italy;Milan;ECONOMY;furniture and tables;Barricks Round Table, with Bottom Storage;$1.003;4
21/2/11;Eva Hargraves;Italy;Milan;ECONOMY;office supplies and art;Binney & Smith Canvas, Water Color;$164;3
21/2/11;Eva Hargraves;Italy;Milan;ECONOMY;office supplies and storage;Smead Trays, Blue;$29;1
21/2/11;Eva Hargraves;Italy;Milan;ECONOMY;technology and machines;Okidata Calculator, Red;$30;1
21/2/11;Jonathan Summons;Switzerland;Zurich;ECONOMY;office supplies and fasteners;Stockwell Thumb Tacks, Assorted Sizes;$21;2
21/2/11;Jonathan Summons;Switzerland;Zurich;ECONOMY;office supplies and storage;Smead Box, Single Width;$32;3
22/2/11;Darcy Farnell;Italy;Grosseto;ECONOMY;furniture and furnishings;Advantus Clock, Black;$103;2
22/2/11;Darcy Farnell;Italy;Grosseto;ECONOMY;office supplies and binders;Acco Binder Covers, Recycled;$41;3
22/2/11;Darcy Farnell;Italy;Grosseto;ECONOMY;office supplies and binders;Avery Binder Covers, Durable;$63;5
22/2/11;Darcy Farnell;Italy;Grosseto;ECONOMY;office supplies and binders;Avery Binder Covers, Recycled;$23;2
22/2/11;Darcy Farnell;Italy;Grosseto;ECONOMY;technology and machines;Konica Printer, Red;$477;3
22/2/11;Katherine Grant;France;Paris;PLUS;office supplies and binders;Wilson Jones Hole Reinforcements, Recycled;$10;2
22/2/11;Jared Wurster;Ireland;Dublin;ECONOMY;technology and phones;Apple Speaker Phone, with Caller ID;$185;3
23/2/11;Kayla Ronald;Italy;Rome;ECONOMY;furniture and chairs;Harbour Creations Bag Chairs, Black;$47;2
24/2/11;Angus Reading;Belgium;Namur;ECONOMY;furniture and bookcases;Bush Classic Bookcase, Mobile;$2.076;5
24/2/11;Angus Reading;Belgium;Namur;ECONOMY;office supplies and binders;Acco Binding Machine, Recycled;$309;6
24/2/11;Angus Reading;Belgium;Namur;ECONOMY;technology and copiers;Brother Copy Machine, High-Speed;$525;2
26/2/11;Jodie Mellor;Netherlands;Zaanstad;ECONOMY;furniture and furnishings;Advantus Frame, Black;$533;6
26/2/11;Jodie Mellor;Netherlands;Zaanstad;ECONOMY;technology and phones;Motorola Headset, with Caller ID;$120;3
1/3/11;Maya Summers;Germany;Bochum;PLUS;office supplies and art;Binney & Smith Pens, Easy-Erase;$147;12
1/3/11;Maya Summers;Germany;Bochum;PLUS;office supplies and storage;Fellowes Shelving, Wire Frame;$102;2
1/3/11;Maya Summers;Germany;Bochum;PLUS;technology and machines;Epson Calculator, Durable;$47;1
